timestamp,kalshi_kamala_yes,kalshi_kamala_no,kalshi_trump_yes,kalshi_trump_no,polymarket_kamala_yes,polymarket_kamala_no,polymarket_trump_yes,polymarket_trump_no,arbitrage_no_spread_percent_return,arbitrage_yes_no_spread_percent_return
2024-10-28 10:58:21.677658,0.63,0.39,0.39,0.62,0.5945,0.4055,0.4045,0.5955,1.47,1.57
2024-10-28 10:59:22.313143,0.63,0.39,0.39,0.62,0.5945,0.4055,0.4045,0.5955,1.47,1.57
2024-10-28 11:00:22.955621,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:01:23.617640,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:02:24.224710,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:03:24.850799,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:04:25.489174,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:05:26.079451,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4045,0.5955,1.47,1.47
2024-10-28 11:06:26.704595,0.63,0.39,0.39,0.62,0.596,0.404,0.4045,0.5955,1.47,1.42
2024-10-28 11:07:27.350843,0.63,0.39,0.39,0.62,0.596,0.404,0.4045,0.5955,1.47,1.42
2024-10-28 11:08:27.972968,0.63,0.39,0.39,0.62,0.596,0.404,0.4035,0.5965,1.37,1.42
2024-10-28 11:09:28.595248,0.63,0.39,0.39,0.62,0.5955,0.4045,0.4035,0.5965,1.37,1.47
2024-10-28 11:10:29.210742,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:11:29.947748,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:12:30.541250,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:13:31.136854,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:14:31.819819,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:15:32.418537,0.63,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:16:33.070382,0.63,0.38,0.39,0.62,0.5965,0.4035,0.4035,0.5965,2.41,2.41
2024-10-28 11:17:33.698880,0.63,0.38,0.39,0.62,0.5965,0.4035,0.4035,0.5965,2.41,2.41
2024-10-28 11:18:34.308071,0.62,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
2024-10-28 11:19:34.994554,0.62,0.39,0.39,0.62,0.5965,0.4035,0.4035,0.5965,1.37,1.37
